H1_(sigma,mu)
4.3864371053381523736559e-7	(1,1)
4.3864371053357425708656e-7	(1,2)
4.3864371053194924099444e-7	(1,3)
4.3864371052671667397777e-7	(1,4)
4.3864371051469489903867e-7	(1,5)
4.3864371049192053540906e-7	(1,6)
4.3864371045387087739387e-7	(1,7)
4.3864371039572201521152e-7	(1,8)
4.3864371031263073433181e-7	(1,9)
4.3864371020002709428795e-7	(1,10)
4.3864371005390401343897e-7	(1,11)
4.3864370987109021896726e-7	(1,12)
4.3864370964949356115427e-7	(1,13)
4.3864370938830291067871e-7	(1,14)
4.3864370908813860484694e-7	(1,15)
4.386437087511436076243e-7	(1,16)
4.3864370838101010352923e-7	(1,17)
4.3864370798293904559949e-7	(1,18)
4.3864370756353310060084e-7	(1,19)
4.3864370713062635275711e-7	(1,20)
4.3864370669305691292358e-7	(1,21)
4.3864370626039111131994e-7	(1,22)
4.3864370584261011766749e-7	(1,23)
4.3864370544977153763929e-7	(1,24)
4.3864370509165970372217e-7	(1,25)
4.3864370477743895997673e-7	(1,26)
4.3864370451532420739898e-7	(1,27)
4.3864370431228232999057e-7	(1,28)
4.386437041737768883113e-7	(1,29)
4.3864370410356669984446e-7	(1,30)
0.00003550054681403262505423764	(2,1)
0.00003550054681245339324195691	(2,2)
0.00003550054680180406907682108	(2,3)
0.00003550054676751314562287427	(2,4)
0.00003550054668873006194070508	(2,5)
0.00003550054653948133511838088	(2,6)
0.00003550054629012802047362951	(2,7)
0.00003550054590905727064922605	(2,8)
0.00003550054536452972350122577	(2,9)
0.00003550054462659687623758598	(2,10)
0.00003550054366899883847827976	(2,11)
0.00003550054247095307202116987	(2,12)
0.00003550054101874891771663039	(2,13)
0.0000355005393070707029800632	(2,14)
0.00003550053733998367317541527	(2,15)
0.00003550053513153140049891468	(2,16)
0.00003550053270591006886277701	(2,17)
0.00003550053009720338340132083	(2,18)
0.00003550052734868100820748505	(2,19)
0.00003550052451168255915695104	(2,20)
0.00003550052164412743393098242	(2,21)
0.00003550051880870734923618905	(2,22)
0.00003550051607083264820369421	(2,23)
0.00003550051349641461515349218	(2,24)
0.00003550051114957369741790189	(2,25)
0.00003550050909036734437659024	(2,26)
0.0000355005073726309594110762	(2,27)
0.00003550050604202122341739403	(2,28)
0.00003550050513434296621823414	(2,29)
0.00003550050467422917954422829	(2,30)
0.00027356989792891917419572691	(3,1)
0.00027356989783512222711994561	(3,2)
0.00027356989720261591259840998	(3,3)
0.00027356989516593967479385168	(3,4)
0.00027356989048669468176548001	(3,5)
0.00027356988162221131486722353	(3,6)
0.00027356986681211389536066976	(3,7)
0.00027356984417878966162000002	(3,8)
0.00027356981183711321207060384	(3,9)
0.00027356976800832781877606163	(3,10)
0.00027356971113276135600207143	(3,11)
0.00027356963997606732014446135	(3,12)
0.00027356955372393041219888123	(3,13)
0.00027356945206065090808229873	(3,14)
0.00027356933522770213227263726	(3,15)
0.00027356920405921132131680237	(3,16)
0.00027356905999230881305807156	(3,17)
0.00027356890505138049877563234	(3,18)
0.00027356874180639627228469438	(3,19)
0.0002735685733066230947015846	(3,20)
0.00027356840299211558120733893	(3,21)
0.00027356823458636221843721096	(3,22)
0.00027356807197430822416043014	(3,23)
0.000273567919070639616181903	(3,24)
0.00027356777968366800316311831	(3,25)
0.00027356765738038175220443331	(3,26)
0.00027356755535821628448029472	(3,27)
0.00027356747632884446054571656	(3,28)
0.00027356742241880789778413449	(3,29)
0.00027356739509112210932566106	(3,30)
0.00104982327124302763681295861	(4,1)
0.00104982326986407155868226351	(4,2)
0.00104982326056527829151561524	(4,3)
0.00104982323062307803079477902	(4,4)
0.00104982316183115235494519447	(4,5)
0.00104982303150995915694095225	(4,6)
0.0010498228137793832939944231	(4,7)
0.00104982248103581213929489062	(4,8)
0.00104982200556529138596536042	(4,9)
0.00104982136121780008195036996	(4,10)
0.00104982052506439208387114658	(4,11)
0.00104981947895913534394006343	(4,12)
0.00104981821093143959456627721	(4,13)
0.00104981671634134327002644913	(4,14)
0.00104981499874033191949900415	(4,15)
0.00104981307039284972332571487	(4,16)
0.00104981095242829548144026477	(4,17)
0.00104980867460932665878246769	(4,18)
0.00104980627471902938424060412	(4,19)
0.00104980379758621668364572717	(4,20)
0.0010498012937840601752536411	(4,21)
0.00104979881805174312667534919	(4,22)
