a^2^2^2_2_(sigma,mu)
5.333330829099996527333662562	(1,1)
5.333131230722125840305203923	(1,2)
5.331785267569947676783611711	(1,3)
5.327451253631467667285513205	(1,4)
5.31749389619227277574597513	(1,5)
5.298630418886065829331130608	(1,6)
5.267114769530254628008610004	(1,7)
5.218951415681864041885804985	(1,8)
5.150128835388844324675823273	(1,9)
5.056861853513369357151331879	(1,10)
4.93583149815211599703451227	(1,11)
4.784411078848738754449019316	(1,12)
4.60086771818814959460216624	(1,13)
4.384529578613781252929182162	(1,14)
4.1359104734502726539972617382	(1,15)
3.8567853724692295876148295245	(1,16)
3.5502124287538602174783473531	(1,17)
3.2204994729273957361844124599	(1,18)
2.8731153418421613762045420671	(1,19)
2.5145488258360698102141976075	(1,20)
2.1521203259503468459542404659	(1,21)
1.7937534090300789846816596997	(1,22)
1.4477152424436726195594905394	(1,23)
1.1223363024092851750045235509	(1,24)
0.8257207183122817781672011834	(1,25)
0.5654590969289215157452839589	(1,26)
0.3483556433006991288799323117	(1,27)
0.1801808594288101679975908729	(1,28)
0.0654600804083823241237967514	(1,29)
0.0073066436887369957365266888	(1,30)
5.333330829098538292513266599	(2,1)
5.333131230604444268015491173	(2,2)
5.331785266668756089591487244	(2,3)
5.327451250210034543697447417	(2,4)
5.317493886996031236138615005	(2,5)
5.298630398808803634802995971	(2,6)
5.267114731445925487642529696	(2,7)
5.218951350494530514239456784	(2,8)
5.150128732345963639673318227	(2,9)
5.056861700809167363055759055	(2,10)
4.93583128381794378724913091	(2,11)
4.7844107918884274563076494	(2,12)
4.600867349873292876588800998	(2,13)
4.384529123813254432029428624	(2,14)
4.135909931837629296858394954	(2,15)
3.856784749437913754047145091	(2,16)
3.5502117358786437578890824408	(2,17)
3.2204987278433646988161282513	(2,18)
2.8731145674685314497972206151	(2,19)
2.5145480489458592817112600093	(2,20)
2.1521195751698349193832791245	(2,21)
1.7937527124330451628282737462	(2,22)
1.4477146249728507068536643316	(2,23)
1.1223357834004392673777908078	(2,24)
0.8257203094067153721804662529	(2,25)
0.5654588006341424849772863026	(2,26)
0.3483554523975318907359335025	(2,27)
0.180180757332827774582712596	(2,28)
0.0654600424850039653503347604	(2,29)
0.0073066394086658984269011342	(2,30)
5.333330829088642988161776291	(3,1)
5.333131229805879484157185842	(3,2)
5.331785260553441260033869664	(3,3)
5.327451226992839735610051052	(3,4)
5.317493824592084777240118684	(3,5)
5.298630262568322255387999131	(3,6)
5.267114473012920979314941068	(3,7)
5.218950908145718659369474808	(3,8)
5.150128033116671475817431191	(3,9)
5.05686066458772638975422173	(3,10)
4.935829829387494522618706265	(3,11)
4.784408844631233143170810029	(3,12)
4.60086485056028584598427204	(3,13)
4.3845260376258938895950759	(3,14)
4.1359062565610429858952068796	(3,15)
3.8567805216713142478088423253	(3,16)
3.5502070341664985819178515633	(3,17)
3.2204936718541569078181959553	(3,18)
2.8731093127276577261253067332	(3,19)
2.5145427771296590557774757167	(3,20)
2.1521144805302830762340283524	(3,21)
1.793747985472747968842941801	(3,22)
1.4477104349475976343803835654	(3,23)
1.122332261518165897573273872	(3,24)
0.8257175346623209265135170882	(3,25)
0.5654567900425675524147922162	(3,26)
0.3483541569706373831028704063	(3,27)
0.1801800645320560156838284971	(3,28)
0.0654597851453663813123093404	(3,29)
0.0073066103650538687333636944	(3,30)
5.333330829056448541449878286	(4,1)
5.333131227207742989373869062	(4,2)
5.331785240657218831117509371	(4,3)
5.327451151455524292177442877	(4,4)
5.317493621560389129586444587	(4,5)
5.298629819308949126806867136	(4,6)
5.267113632199396093034772026	(4,7)
5.218949468961107061777163455	(4,8)
5.150125758170347842748176537	(4,9)
5.056857293236667243182266065	(4,10)
4.935825097393505629145543129	(4,11)
4.7844025092271401601031805	(4,12)
4.600856719046856998486317127	(4,13)
4.384515996724444205790941509	(4,14)
4.1358942990696045200557850605	(4,15)
3.8567667666697715965394542539	(4,16)
3.5501917372031789058210580779	(4,17)
3.2204772222731199490264984629	(4,18)
2.873092216531378803238757001	(4,19)
2.5145256254000386586910684498	(4,20)
2.1520979052611381342188799234	(4,21)
1.7937326064566674312682451302	(4,22)
1.4476968028487995855195269961	(4,23)
1.1223208032116046737306665727	(4,24)
0.8257085071488325668295343878	(4,25)
0.565450248673758174862185215	(4,26)
0.3483499423609153519517788033	(4,27)
0.180177810539026800086238713	(4,28)
0.0654589479039177027876060503	(4,29)
0.0073065158731551306585648293	(4,30)
5.333330828981399488017515775	(5,1)
5.333131221151180315187874584	(5,2)
5.33178519427677773314278456	(5,3)
5.327450975369139778409925659	(5,4)
5.317493148269621314724550062	(5,5)
5.298628786019379398242830494	(5,6)
5.267111672165042373443089769	(5,7)
5.21894611405544271128216703	(5,8)
5.150120455010824263420080454	(5,9)
5.056849434239169658191301799	(5,10)
4.935814066596731592453643952	(5,11)
4.78438774072576825299941129	(5,12)
4.600837763654767919245198793	(5,13)
4.384492590398621446414737054	(5,14)
4.135866425047087639475007334	(5,15)
3.8567347025651026504443663106	(5,16)
3.5501560787502269471238679725	(5,17)
3.2204388770897033626230095833	(5,18)
2.8730523641654310877193934036	(5,19)
2.5144856437118975495056741281	(5,20)
2.152059267462977055234963847	(5,21)
1.7936967573018439296258902703	(5,22)
1.4476650259337810302848887761	(5,23)
1.1222940935637134532555106781	(5,24)
0.8256874638073937505853372475	(5,25)
0.5654350006287599523535885095	(5,26)
0.3483401180513919750518861692	(5,27)
0.1801725564602901333838113727	(5,28)
0.0654569962883419572717849994	(5,29)
0.0073062956120057306942393295	(5,30)
5.333330828836527997724312697	(6,1)
5.333131209459850216561307013	(6,2)
5.331785104745956042202143274	(6,3)
5.327450635459535733127515523	(6,4)
5.317492234649599729205087559	(6,5)
5.298626791402628259413569996	(6,6)
5.267107888603222275956960442	(6,7)
5.218939637903073356475858731	(6,8)
5.150110218054349046975868757	(6,9)
5.05683426364711173550300655	(6,10)
4.935792773381536664663293507	(6,11)
4.784359232544528940482417958	(6,12)
4.600801173494806517325548643	(6,13)
4.384447408658054796929255846	(6,14)
4.1358126194741722930139494763	(6,15)
3.8566728091602035817449329924	(6,16)
3.5500872475780605280004760974	(6,17)
3.2203648602221443434855328936	(6,18)
2.8729754385366939236068040983	(6,19)
2.5144084689961030261834445439	(6,20)
2.1519846873197678612930327787	(6,21)
1.7936275603873979853550108984	(6,22)
1.447603689770290216357848919	(6,23)
1.122242538624521474084232502	(6,24)
0.8256468462033672424552538849	(6,25)
0.5654055691857894688336314092	(6,26)
0.3483211554645099700859364918	(6,27)
0.1801624152288301880181293261	(6,28)
0.0654532293594764365616128221	(6,29)
0.0073058704733934676894737129	(6,30)
5.333330828588820898642299417	(7,1)
5.333131189469544075208973566	(7,2)
5.331784951662565874705447797	(7,3)
5.32745005426855198192768604	(7,4)
5.317490672506251974092978279	(7,5)
5.298623380931012627057280995	(7,6)
5.267101419332675568468636254	(7,7)
5.218928564763432866723982393	(7,8)
5.150092714611216029860754351	(7,9)
5.05680832461973476983827568	(7,10)
4.935756365912589266829075133	(7,11)
4.784310489083591904861774509	(7,12)
4.600738611835732410510512963	(7,13)
4.38437015776915184345418954	(7,14)
4.1357206245522810912001998944	(7,15)
3.856566987017057056968021019	(7,16)
3.5499695649143090516451495924	(7,17)
3.2202383129451871109308312704	(7,18)
2.8728439197924523374522190147	(7,19)
2.5142765261177475575283252799	(7,20)
2.1518571819777283761518461455	(7,21)
1.7935092599879231231039813721	(7,22)
1.447498829590732081554676673	(7,23)
1.1221544014546075872112267883	(7,24)
0.8255774080102066982046644827	(7,25)
0.5653552548748338558661825838	(7,26)
0.3482887383685461156902609215	(7,27)
0.180145078604280793507252116	(7,28)
0.0654467897512926569623459063	(7,29)
0.0073051436955981034385868625	(7,30)
5.3333308281996655345956665	(8,1)
5.333131158064167334529393425	(8,2)
5.331784711163940811520950006	(8,3)
5.327449141200223988220994844	(8,4)
5.317488218334081461517573915	(8,5)
5.298618022988161171895978728	(8,6)
5.267091255954009961035165075	(8,7)
5.21891116864808718054419093	(8,8)
5.150065216482222800910442372	(8,9)
5.056767574316560661011416976	(8,10)
