b^3^2_2_(sigma,mu)
5.0036441703945791580979e-6	(1,1)
5.0033944930018081070633e-6	(1,2)
5.0017109511448404993751e-6	(1,3)
4.9962913740758512915452e-6	(1,4)
4.9838482894596424289484e-6	(1,5)
4.9603076641311907407398e-6	(1,6)
4.9210708937184899836908e-6	(1,7)
4.8613328669662895576583e-6	(1,8)
4.776442861662239612883e-6	(1,9)
4.6622880680521424502271e-6	(1,10)
4.5156729136383165578177e-6	(1,11)
4.3346625100092685579392e-6	(1,12)
4.1188568090334265175697e-6	(1,13)
3.8695644316292934168709e-6	(1,14)
3.5898520090169678150097e-6	(1,15)
3.2844559067322580238203e-6	(1,16)
2.9595572847600180138961e-6	(1,17)
2.6224368486185480179162e-6	(1,18)
2.2810402402786432838327e-6	(1,19)
1.9434966135458437900767e-6	(1,20)
1.6176396382431168474224e-6	(1,21)
1.3105807061493660880909e-6	(1,22)
1.0283780599935967494965e-6	(1,23)
7.758335036604622807827e-7	(1,24)
5.564317810010094480434e-7	(1,25)
3.72418874954440401269e-7	(1,26)
2.2499703732769805936129e-7	(1,27)
1.1459898921496767656116e-7	(1,28)
4.119371367019934119788e-8	(1,29)
4.5731207738303756814e-9	(1,30)
0.0000452595376340292520569879	(2,1)
0.0000452572793540284499801335	(2,2)
0.0000452420520684893098401542	(2,3)
0.0000451930331202028129885459	(2,4)
0.0000450804879930963833873754	(2,5)
0.0000448675678567169833320898	(2,6)
0.0000445126791597477374768665	(2,7)
0.0000439723603783692555992822	(2,8)
0.000043204546139474466979005	(2,9)
0.000042172035986417526542345	(2,10)
0.0000408459251694754587131815	(2,11)
0.0000392087109540720984923087	(2,12)
0.0000372567722662956321023487	(2,13)
0.0000350019419835415077350921	(2,14)
0.0000324719533695967425708357	(2,15)
0.0000297096419086322700503616	(2,16)
0.0000267709111543882068502098	(2,17)
0.0000237216104950162779599336	(2,18)
0.0000206336047156908429662673	(2,19)
0.0000175804201071868220834534	(2,20)
0.0000146329124575156531319002	(2,21)
0.0000118554070451360583978196	(2,22)
9.3027060264874076055073e-6	(2,23)
7.0182495219772085084551e-6	(2,24)
5.0335668534682129085071e-6	(2,25)
3.3689840540748590602434e-6	(2,26)
2.03538700558487860554668e-6	(2,27)
1.03670056492987078999303e-6	(2,28)
3.7265344533123881403266e-7	(2,29)
4.137020896534395675075e-8	(2,30)
0.0001269866996948596152430562	(3,1)
0.0001269803659862622598332133	(3,2)
0.0001269376586173163831423103	(3,3)
0.000126800177059597717282234	(3,4)
0.0001264845258352976713537684	(3,5)
0.0001258873555645649729869324	(3,6)
0.0001248920079707121323204619	(3,7)
0.0001233765827365735913614528	(3,8)
0.0001212230902899406642938143	(3,9)
0.0001183271781972026824548319	(3,10)
0.0001146077510552181921070153	(3,11)
0.0001100156808172502682011898	(3,12)
0.0001045407606040983459489611	(3,13)
0.0000982161152996052626302911	(3,14)
0.0000911194565290152976577724	(3,15)
0.0000833708491675542211249108	(3,16)
0.0000751270134211190253493036	(3,17)
0.0000665725768106825221668204	(3,18)
0.0000579090602088578290957154	(3,19)
0.0000493426759094362573841473	(3,20)
0.0000410721854810529102221315	(3,21)
0.0000332780785695892785280946	(3,22)
0.0000261141805174932143730035	(3,23)
0.0000197024910864329092346243	(3,24)
0.0000141316368129997909398105	(3,25)
9.4588424148301275239709e-6	(3,26)
5.71485955804159706136997e-6	(3,27)
2.91090198855596873476321e-6	(3,28)
1.04638228203110759983464e-6	(3,29)
1.1616588740831239219652e-7	(3,30)
0.0002526356968031738122147219	(4,1)
0.0002526231115383302343643056	(4,2)
0.0002525382507211019428793165	(4,3)
0.0002522650705018958871176849	(4,4)
0.0002516378600008893396828865	(4,5)
0.0002504512551509830930531904	(4,6)
0.00024847343684365376508065	(4,7)
0.0002454621508923037069172403	(4,8)
0.0002411828824528489062263352	(4,9)
0.0002354281680473835917950441	(4,10)
0.0002280366960028188082452106	(4,11)
0.0002189106026849836424155253	(4,12)
0.0002080292851764763391267926	(4,13)
0.0001954581706396528076328443	(4,14)
0.0001813512281457026827680351	(4,15)
0.0001659465627703849324084407	(4,16)
0.0001495551389493012226783871	(4,17)
0.0001325434533637737238057626	(4,18)
0.000115311710277765159866526	(4,19)
0.0000982696343244157055117385	(4,20)
0.000081812392063084002401639	(4,21)
0.0000662991202989617998766951	(4,22)
0.0000520362557542046723606695	(4,23)
0.0000392672558418824112228908	(4,24)
0.0000281694695340685976280391	(4,25)
0.0000188579731380069621455891	(4,26)
0.0000113952615147983005507897	(4,27)
5.80491500459164698424062e-6	(4,28)
2.08686028082992645644169e-6	(4,29)
2.316858439925345683068e-7	(4,30)
0.0004258920611995685273110466	(5,1)
0.0004258709034531193485859042	(5,2)
0.0004257282394153309660636025	(5,3)
0.0004252689806223111549751189	(5,4)
0.0004242145357190026505626244	(5,5)
0.0004222196343884993647014228	(5,6)
0.0004188944939323086268984808	(5,7)
0.0004138317167047349149732899	(5,8)
0.0004066367969476190151636402	(5,9)
0.0003969605318696627074437336	(5,10)
0.0003845310771591943926577972	(5,11)
