c^3_2_(sigma,mu)
-2.28635913342939158003e-8	(1,1)
-2.05388801788434672714e-7	(1,2)
-5.682976784960404290197e-7	(1,3)
-1.1068619696380890962913e-6	(1,4)
-1.8129482263810133440587e-6	(1,5)
-2.673961399151329993407e-6	(1,6)
-3.671733841617633987659e-6	(1,7)
-4.781569528865038198309e-6	(1,8)
-5.971654841980055808873e-6	(1,9)
-7.203022998877968196927e-6	(1,10)
-8.430210992533284244967e-6	(1,11)
-9.602680194652493806896e-6	(1,12)
-0.000010666991221585542647039	(1,13)
-0.000011569638382107801683046	(1,14)
-0.000012260367883444936478933	(1,15)
-0.000012695735631757060516597	(1,16)
-0.000012842612534453360539422	(1,17)
-0.000012681323456488060084158	(1,18)
-0.00001220811370675546694236	(1,19)
-0.00001143667460769260065287	(1,20)
-0.00001039852487318504772497	(1,21)
-9.14213198381231864589e-6	(1,22)
-7.73076001420065447712e-6	(1,23)
-6.2391383438612474909e-6	(1,24)
-4.74914952842051067278e-6	(1,25)
-3.3448246612091275181e-6	(1,26)
-2.10700225868500615918e-6	(1,27)
-1.10804543072644467206e-6	(1,28)
-4.0701780137165218187e-7	(1,29)
-4.56902667363877552e-8	(1,30)
-2.072233864166669480093e-7	(2,1)
-1.8615344568473011424794e-6	(2,2)
-5.1507468144607772476915e-6	(2,3)
-0.0000100320062685934966333497	(2,4)
-0.0000164315960537168642982253	(2,5)
-0.00002423536238879152585012	(2,6)
-0.000033278645257575638433733	(2,7)
-0.000043337615939424830424294	(2,8)
-0.000054123936829560191869714	(2,9)
-0.000065284439100912168771518	(2,10)
-0.000076407076741286181825579	(2,11)
-0.00008703380188846049083295	(2,12)
-0.000096680276238079908142817	(2,13)
-0.000104861560409831528382045	(2,14)
-0.000111122187734841594175211	(2,15)
-0.000115068409542905043582034	(2,16)
-0.000116399964637357608675917	(2,17)
-0.000114938528473505377074615	(2,18)
-0.00011065006756258392558275	(2,19)
-0.0001036586661014478847252	(2,20)
-0.00009424998250044535306427	(2,21)
-0.00008286328619123682371839	(2,22)
-0.0000700719519570114673062	(2,23)
-0.00005655326764612789009177	(2,24)
-0.00004304935230647027668061	(2,25)
-0.00003032179794842266665916	(2,26)
-0.00001910326175481581320169	(2,27)
-0.00001004958655045076505449	(2,28)
-3.69607904287554172999e-6	(2,29)
-4.213181402100233824e-7	(2,30)
-5.836240363865143024012e-7	(3,1)
-5.2428264885823599046823e-6	(3,2)
-0.0000145065661851328342356391	(3,3)
-0.0000282541512887281346152431	(3,4)
-0.0000462779739354418707113454	(3,5)
-0.000068256548864899694977232	(3,6)
-0.000093726158871044977976807	(3,7)
-0.000122056461825402872643486	(3,8)
-0.000152435453488128834286452	(3,9)
-0.000183868560833387662065823	(3,10)
-0.000215195409937404350824219	(3,11)
-0.000245126084482267389175963	(3,12)
-0.000272296634742238384050957	(3,13)
-0.000295341420367921658410108	(3,14)
-0.000312977799261877818916821	(3,15)
-0.000324096930633659572813847	(3,16)
-0.000327853237133812447055463	(3,17)
-0.000323744515869851344310039	(3,18)
-0.00031167488545508753532278	(3,19)
-0.00029199371809276180948611	(3,20)
-0.00026550536926850273461211	(3,21)
-0.00023344675006359800204159	(3,22)
-0.00019743239719402832554174	(3,23)
-0.00015936945157462237355641	(3,24)
-0.00012134760631398657639233	(3,25)
-0.00008551138301578091430599	(3,26)
-0.00005392382276104460445786	(3,27)
-0.00002843166613445136050292	(3,28)
-0.00001054224192737192176014	(3,29)
-1.3215597081207126733e-6	(3,30)
-1.1671536078708911743482e-6	(4,1)
-0.0000104848045493717526602164	(4,2)
-0.0000290107880303953791848578	(4,3)
-0.000056503756682170196802478	(4,4)
-0.0000925485780485813267195343	(4,5)
-0.000136502441410235803342072	(4,6)
-0.000187438180483323266786255	(4,7)
-0.000244095516283077856828469	(4,8)
-0.000304851003424664262780778	(4,9)
-0.000367716224757421234581873	(4,10)
-0.000430371318890360308170689	(4,11)
-0.000490237470471612048858097	(4,12)
-0.000544587882167583140801271	(4,13)
-0.000590692395730522574654192	(4,14)
-0.000625986789108971634749225	(4,15)
-0.000648254289809247695869713	(4,16)
-0.000655804400029844438831471	(4,17)
-0.00064763302052166961875251	(4,18)
-0.00062354825620115509743364	(4,19)
-0.00058424821111708144098446	(4,20)
-0.00053134040756954392865867	(4,21)
-0.00046729692801785902235375	(4,22)
-0.00039534459628571580267125	(4,23)
-0.00031929502238343477195142	(4,24)
-0.00024332463088233581767672	(4,25)
-0.0001717193835805105073502	(4,26)
-0.00010860235719402852825152	(4,27)
-0.00005766430867031804326373	(4,28)
-0.00002191764874953369578758	(4,29)
-3.4927951353590260432e-6	(4,30)
-1.979775688060206797085e-6	(5,1)
-0.000017784772931532557733019	(5,2)
-0.0000492093487508009190281352	(5,3)
-0.0000958441823092246789667345	(5,4)
-0.0001569852944041371479284479	(5,5)
-0.000231542726049808874839995	(5,6)
-0.000317944502122690747962737	(5,7)
-0.000414054020944675287644145	(5,8)
-0.000517119144916235142113298	(5,9)
-0.000623769168588503749722916	(5,10)
-0.000730071670235221721226026	(5,11)
-0.000831655396658827089666374	(5,12)
-0.000923898361881386580232275	(5,13)
-0.00100217296335905775664908	(5,14)
-0.001062132900811671449227602	(5,15)
-0.001100020773537827482725473	(5,16)
-0.001112971091015127496523369	(5,17)
-0.00109928155721577558160189	(5,18)
-0.00105862616661384598214514	(5,19)
-0.00099218691874602767024791	(5,20)
-0.00090268660361032510711332	(5,21)
-0.00079431267972350412569566	(5,22)
-0.00067253111044039445861922	(5,23)
-0.00054379835478685086668711	(5,24)
-0.00041518867558782484421412	(5,25)
-0.00029396169620890670323444	(5,26)
-0.00018710097071135231538938	(5,27)
-0.00010085766135647099492933	(5,28)
-0.00004033389603075879214991	(5,29)
-9.1379177106924448526e-6	(5,30)
-3.0495673296447374526205e-6	(6,1)
-0.0000273949550900258300169248	(6,2)
-0.0000758001523025302782058703	(6,3)
-0.0001476348333773547087845394	(6,4)
-0.000241815137765503623328536	(6,5)
-0.000356663266515317041219775	(6,6)
-0.000489759837559243784623228	(6,7)
-0.000637816898033638878425311	(6,8)
-0.000796599699477714193145584	(6,9)
-0.000960922114171034739590707	(6,10)
-0.001124734155361280964752165	(6,11)
-0.001281311053370168292232266	(6,12)
-0.001423542615677666078609867	(6,13)
-0.001544310247544700934322027	(6,14)
-0.001636928211408621776102928	(6,15)
-0.001695616615313369566867372	(6,16)
-0.001715967258052120899908265	(6,17)
-0.00169536058879507848698118	(6,18)
-0.0016332930992302807858039	(6,19)
-0.00153157951436756964059591	(6,20)
-0.00139440284952659234994906	(6,21)
-0.00122819705509114642445485	(6,22)
-0.00104136057375846455495604	(6,23)
-0.00084381347385772939387791	(6,24)
-0.00064642458816803140838276	(6,25)
-0.00046034700097645112873078	(6,26)
-0.00029630915869933291322256	(6,27)
-0.00016391396263280670540955	(6,28)
-0.00007099891105055158880766	(6,29)
-0.0000231065614969524227707	(6,30)
-4.4097617095037387086328e-6	(7,1)
-0.0000396138939043590114984361	(7,2)
-0.0001096092804047526833581811	(7,3)
-0.0002134848577700603223787059	(7,4)
-0.000349674533375358199179239	(7,5)
-0.000515754767645676196526244	(7,6)
-0.00070823173479869383599112	(7,7)
-0.000922358299898126572006719	(7,8)
-0.001152021351967494768224568	(7,9)
-0.00138973537769815423846938	(7,10)
-0.001626768902260518939461921	(7,11)
-0.001853417416875679677342521	(7,12)
-0.002059420930754931550495554	(7,13)
-0.002234507896975287833637876	(7,14)
-0.002369031676313036282458527	(7,15)
-0.002454652594639938848398903	(7,16)
-0.00248500948653567360504933	(7,17)
-0.00245632050831424811570722	(7,18)
-0.00236785457597144508618151	(7,19)
-0.00222222211395739418495741	(7,20)
-0.00202544639644188687583025	(7,21)
-0.00178679360217333955480757	(7,22)
-0.00151835932977590361008569	(7,23)
-0.00123442997647108077656976	(7,24)
-0.00095065718230854437712606	(7,25)
-0.00068310064525003144989956	(7,26)
-0.00044720740523942348993065	(7,27)
-0.00025680294110169093405671	(7,28)
-0.0001231703818167686432928	(7,29)
-0.000054288628899262745576	(7,30)
-6.0976536609190998351179e-6	(8,1)
-0.0000547766201065109870905343	(8,2)
-0.0001515637944177648562589206	(8,3)
-0.0002952002055225973925533742	(8,4)
-0.00048352272824642508739363	(8,5)
-0.000713185410834203921407858	(8,6)
-0.000979366491785309341592006	(8,7)
-0.001275516537075452153523257	(8,8)
-0.001593203550117629451087874	(8,9)
-0.001922104493725464531347635	(8,10)
-0.002250179899558254015585075	(8,11)
-0.002564050300813461489870294	(8,12)
-0.002849571865541483908568957	(8,13)
-0.003092586000030886230070497	(8,14)
-0.003279796198696697219527813	(8,15)
-0.00339970735736888437584271	(8,16)
-0.00344355017244747091530614	(8,17)
-0.00340610764821227870643709	(8,18)
-0.0032863629885596262742602	(8,19)
-0.00308789834857716436046163	(8,20)
-0.00281899136626071577643407	(8,21)
-0.00249237965485355044177526	(8,22)
-0.00212469048407801846546503	(8,23)
-0.00173556128320856513726468	(8,24)
-0.00134650376068627025513574	(8,25)
-0.00097958783447618792058712	(8,26)
-0.00065603900593941994131826	(8,27)
-0.00039485261704097419973445	(8,28)
-0.0002115296193469167995907	(8,29)
-0.000117030840640757549895	(8,30)
-8.1534820412007682868804e-6	(9,1)
-0.0000732446125747036273943892	(9,2)
-0.000202663960553989298358756	(9,3)
-0.0003947295602793277960839987	(9,4)
-0.000646553336524391123620975	(9,5)
-0.000953670685847464639227904	(9,6)
-0.001309651102824183937240464	(9,7)
-0.001705763595356586394681933	(9,8)
-0.002130771203410367992008917	(9,9)
-0.002570920403472272839433294	(9,10)
-0.003010174181952745924475577	(9,11)
-0.003430713654515870759166531	(9,12)
-0.003813704637707015432073692	(9,13)
-0.004140295443671915752560234	(9,14)
-0.004392783533755261568730339	(9,15)
-0.00455586463818552344688459	(9,16)
-0.00461786124591794108946974	(9,17)
-0.00457182003029228169575636	(9,18)
-0.00441637093610995851495996	(9,19)
-0.00415625440705716050523899	(9,20)
-0.00380244661077118649716849	(9,21)
-0.00337184357713348476007686	(9,22)
-0.00288650116949506439202657	(9,23)
-0.00237246550337680746139111	(9,24)
-0.00185826435483582724002033	(9,25)
-0.00137316093493992909230493	(9,26)
-0.0009452942695082141435086	(9,27)
-0.00059984315209207702532828	(9,28)
-0.0003573519816712533577018	(9,29)
-0.0002323465216110667032449	(9,30)
-0.0000106194972870132160507657	(10,1)
-0.0000953974221136317373512148	(10,2)
-0.0002639600760492110835314616	(10,3)
-0.0005141192206440551241614147	(10,4)
-0.000842120501364574874434286	(10,5)
-0.001242164660942261314372806	(10,6)
-0.001705904364727544979644874	(10,7)
-0.002222012063499021383812361	(10,8)
-0.002775915073409288560023203	(10,9)
-0.003349783011758876961808337	(10,10)
-0.00392283069925887648196305	(10,11)
-0.004471968637683815565864166	(10,12)
-0.004972796236412165276645682	(10,13)
-0.005400893867180688685791463	(10,14)
-0.00573333270330995890336142	(10,15)
-0.00595029020255846805511153	(10,16)
-0.00603663756727452252449253	(10,17)
-0.00598335620859678777576045	(10,18)
-0.00578864460234006626553831	(10,19)
-0.00545859503172731966360993	(10,20)
-0.00500735024938662749810112	(10,21)
-0.00445669047025934938445936	(10,22)
-0.00383504772921163325693564	(10,23)
-0.00317599325466184727056262	(10,24)
-0.00251628964986122995489211	(10,25)
-0.00189363907568556623455698	(10,26)
-0.00134428764765043709074753	(10,27)
-0.00090066219811942014073699	(10,28)
-0.0005892168958312336886866	(10,29)
-0.0004286537406357126418939	(10,30)
-0.0000135395307851455177762865	(11,1)
-0.000121628802996034817566283	(11,2)
-0.0003365417650337614200392161	(11,3)
-0.0006554922497575026816461733	(11,4)
-0.001073704735367505587916322	(11,5)
-0.00158380957691390074780676	(11,6)
-0.002175207609048026101805098	(11,7)
-0.002833524822614772849064498	(11,8)
-0.003540278797502561751809683	(11,9)
-0.004272864607773812446660191	(11,10)
-0.005004940002942120071600386	(11,11)
-0.00570725034992916783426601	(11,12)
-0.00634888695253061305649211	(11,13)
-0.006898922760363332449917106	(11,14)
-0.00732832241421126863983945	(11,15)
-0.00761198423493593117242674	(11,16)
-0.00773074467624101050509661	(11,17)
-0.00767316428814468931195139	(11,18)
-0.0074369201827592882955828	(11,19)
-0.00702965338667625331685028	(11,20)
-0.00646915853830735176695777	(11,21)
-0.00578285475946329141642094	(11,22)
-0.00500653555024293612108153	(11,23)
-0.00418245679756885143459008	(11,24)
-0.00335687979732826991618126	(11,25)
-0.00257723524730624645173743	(11,26)
-0.00188910998666524749690307	(11,27)
-0.00133327758406553974515573	(11,28)
-0.0009429949529703177611367	(11,29)
-0.0007417698527168391096235	(11,30)
-0.0000169594363299158313141833	(12,1)
-0.0001523506784261767173545273	(12,2)
-0.0004215489460872481906251314	(12,3)
-0.0008210698075236900229684957	(12,4)
-0.001344947751378813150875616	(12,5)
-0.001983986912089039856240905	(12,6)
-0.002724974109409931671091992	(12,7)
-0.003550003995770575025837761	(12,8)
-0.00443606735960518298560551	(12,9)
-0.005355036299062160603136523	(12,10)
-0.006274145267480217892553837	(12,11)
-0.007157018038227211677409697	(12,12)
-0.007965232250989248974340163	(12,13)
-0.008660351409812476800422101	(12,14)
-0.00920629563352152060077518	(12,15)
-0.00957187363140206336839007	(12,16)
-0.00973326497362043813519222	(12,17)
-0.0096762279352891591124954	(12,18)
-0.00939781621184136989684551	(12,19)
-0.00890741756308574685740091	(12,20)
-0.00822697660052835157733144	(12,21)
-0.00739032812123523559242071	(12,22)
-0.00644164070175368994347542	(12,23)
-0.00543304588198583639500092	(12,24)
-0.00442159918395938090082642	(12,25)
-0.00346577892510137239227596	(12,26)
-0.0026217719185679183860505	(12,27)
-0.00193981790158797202455968	(12,28)
-0.0014608849527003331100515	(12,29)
-0.001213926259017242383451	(12,30)
-0.0000209286717598288195785796	(13,1)
-0.000188007348196612522548528	(13,2)
-0.0005202111337943626533092322	(13,3)
-0.001013247633921078436654823	(13,4)
-0.001659777496141593524486346	(13,5)
-0.002448501124571829079916557	(13,6)
-0.003363199829130426610237819	(13,7)
-0.004381914347086531090300102	(13,8)
-0.005476445261617212767225932	(13,9)
-0.006612338671089665828758822	(13,10)
-0.00774947796313059609137454	(13,11)
-0.008843342535093672280073162	(13,12)
-0.009846922679724202273190017	(13,13)
-0.01071320405911747884587515	(13,14)
-0.01139806343110294936696165	(13,15)
-0.01186335765385335518424293	(13,16)
-0.01207994750737224660223902	(13,17)
-0.01203038167470687002861912	(13,18)
-0.01171097694025437524408512	(13,19)
-0.01113306805140127841037968	(13,20)
-0.01032326167352813860873506	(13,21)
-0.00932260787762256501711783	(13,22)
-0.00818469221550636155816533	(13,23)
-0.00697274322483610483024067	(13,24)
-0.00575593562143169236346887	(13,25)
-0.00460514069450579053131043	(13,26)
-0.00358842621631650496460285	(13,27)
-0.00276663420224105515495483	(13,28)
-0.0021893640726405131647807	(13,29)
-0.001891661453602115170946	(13,30)
-0.0000255029563340157721695149	(14,1)
-0.0002290993596233567350454196	(14,2)
-0.0006339134717241924418418032	(14,3)
-0.001234724557343058068441552	(14,4)
-0.002022618248725684386652495	(14,5)
-0.002983888443629623319399687	(14,6)
-0.004098884920491982380367995	(14,7)
-0.005341027114607956916609196	(14,8)
-0.006676206489024614984827949	(14,9)
-0.008062774419444177016975008	(14,10)
-0.009452261151103005954020096	(14,11)
-0.010790898751886328188248327	(14,12)
-0.012021934233753979219797597	(14,13)
-0.013088627216887264218411	(14,14)
-0.01393773972123320352983408	(14,15)
-0.01452325379930192131017863	(14,16)
-0.01481000437031624726717723	(14,17)
-0.0147768960061500554108248	(14,18)
-0.0144193866189223388486572	(14,19)
-0.01375096750921973778148286	(14,20)
-0.01280344403733563816658651	(14,21)
-0.01162591723588538807716361	(14,22)
-0.01028247477313631237024712	(14,23)
-0.00884870948686013469035833	(14,24)
-0.0074072849696024422997857	(14,25)
-0.00604285123094706772111558	(14,26)
-0.00483667206658070383193839	(14,27)
-0.00386135469839188180632844	(14,28)
-0.0031760695217073816694182	(14,29)
-0.002822614108652350676633	(14,30)
-0.0000307474244513565457599206	(15,1)
-0.0002762118369182235183708545	(15,2)
-0.0007642750956264044987757001	(15,3)
-0.001488654980641130465235507	(15,4)
-0.002438639850682738950899303	(15,5)
-0.003597782980031233193060707	(15,6)
-0.004942533014384244792213984	(15,7)
-0.006441063305702772327643006	(15,8)
-0.008052565363959044175719589	(15,9)
-0.009727241247475725834907042	(15,10)
-0.011407168288869927740103434	(15,11)
-0.013028122540906897706750668	(15,12)
