d^1_(sigma,mu)
-573.26949705	(1,1)
-573.26969216	(1,2)
-573.27100783	(1,3)
-573.27524438	(1,4)
-573.28497816	(1,5)
-573.30341944	(1,6)
-573.33423371	(1,7)
-573.38133479	(1,8)
-573.44865961	(1,9)
-573.53993471	(1,10)
-573.65844522	(1,11)
-573.80681639	(1,12)
-573.98681761	(1,13)
-574.19919737	(1,14)
-574.44355696	(1,15)
-574.71826882	(1,16)
-575.02044423	(1,17)
-575.34595312	(1,18)
-575.68949691	(1,19)
-576.04473335	(1,20)
-576.40445025	(1,21)
-576.76078277	(1,22)
-577.10546686	(1,23)
-577.43011955	(1,24)
-577.72653499	(1,25)
-577.98698385	(1,26)
-578.20450294	(1,27)
-578.37316189	(1,28)
-578.48829419	(1,29)
-578.5466814	(1,30)
-560.2554606657261	(2,1)
-560.2556557047931	(2,2)
-560.2569709278519	(2,3)
-560.2612060171985	(2,4)
-560.2709364361746	(2,5)
-560.2893712938374	(2,6)
-560.3201746305668	(2,7)
-560.3672585682811	(2,8)
-560.4345579563822	(2,9)
-560.5257968449732	(2,10)
-560.6442573363531	(2,11)
-560.7925611401627	(2,12)
-560.9724735422164	(2,13)
-561.1847385553075	(2,14)
-561.4289528127768	(2,15)
-561.7034843426514	(2,16)
-562.0054407581598	(2,17)
-562.3306896434386	(2,18)
-562.6739320185587	(2,19)
-563.0288277550118	(2,20)
-563.3881697128409	(2,21)
-563.7441012356926	(2,22)
-564.0883695483022	(2,23)
-564.4126056568243	(2,24)
-564.7086196816396	(2,25)
-564.9686992906038	(2,26)
-565.1858981789566	(2,27)
-565.354301468757	(2,28)
-565.4692555450918	(2,29)
-565.5275512251059	(2,30)
-535.589872380867277	(3,1)
-535.590067377474983	(3,2)
-535.59138231373232	(3,3)
-535.595616473852733	(3,4)
-535.605344724858721	(3,5)
-535.623775349073605	(3,6)
-535.654571243752284	(3,7)
-535.701642915973015	(3,8)
-535.768922905159072	(3,9)
-535.860131988607719	(3,10)
-535.978547768612732	(3,11)
-536.126786033537245	(3,12)
-536.306604679584441	(3,13)
-536.518739034323229	(3,14)
-536.762776196098908	(3,15)
-537.037074546536532	(3,16)
-537.338732946717759	(3,17)
-537.663612321554634	(3,18)
-538.006410396497632	(3,19)
-538.360788303499773	(3,20)
-538.719545657535846	(3,21)
-539.074838577721205	(3,22)
-539.418433067713531	(3,23)
-539.741984280789999	(3,24)
-540.037330595321324	(3,25)
-540.296790243036276	(3,26)
-540.51344758545232	(3,27)
-540.681416120647385	(3,28)
-540.796065983132188	(3,29)
-540.854205084361933	(3,30)
-501.71138833096546842	(4,1)
-501.71158343222519629	(4,2)
-501.71289907345992568	(4,3)
-501.7171354949925132	(4,4)
-501.7268688917325369	(4,5)
-501.74530907374598656	(4,6)
-501.77612038073825826	(4,7)
-501.82321426232875954	(4,8)
-501.89052316672566064	(4,9)
-501.98176613825829859	(4,10)
-502.10021680361636672	(4,11)
-502.24848424961668793	(4,12)
-502.4283167039214371	(4,13)
-502.64043697763302244	(4,14)
-502.88441737125781633	(4,15)
-503.1586002359217271	(4,16)
-503.46006866605867319	(4,17)
-503.7846699178568008	(4,18)
-504.12709213647268129	(4,19)
-504.48099287423317281	(4,20)
-504.83917574091332231	(4,21)
-505.19380940972499898	(4,22)
-505.53668119064420946	(4,23)
-505.85947557480835855	(4,24)
-506.1540666603525705	(4,25)
-506.41281230429342644	(4,26)
-506.62883731058052842	(4,27)
-506.79629304222251304	(4,28)
-506.9105815812907111	(4,29)
-506.96853395557659607	(4,30)
-461.660058114734794113	(5,1)
-461.66025352448727595	(5,2)
-461.661571245017115362	(5,3)
-461.665814350282127442	(5,4)
-461.675563035679418918	(5,5)
-461.694031924349471876	(5,6)
-461.724890442873906544	(5,7)
-461.772054663494611977	(5,8)
-461.83946027757674089	(5,9)
-461.930827170646469017	(5,10)
-462.049426397887995011	(5,11)
-462.197860221278132248	(5,12)
-462.377865296825788686	(5,13)
-462.59014813782142953	(5,14)
-462.834260680188578976	(5,15)
-463.108522193832989957	(5,16)
-463.409991973377116559	(5,17)
-463.734495255535557053	(5,18)
-464.07670270161895295	(5,19)
-464.430261608771679069	(5,20)
-464.787974836291262018	(5,21)
-465.142021327570868307	(5,22)
-465.484210158668037258	(5,23)
-465.806258345172658607	(5,24)
-466.100081288063820661	(5,25)
-466.358083831297889696	(5,26)
-466.573439520717091215	(5,27)
-466.740345854331428454	(5,28)
-466.854244124968777293	(5,29)
-466.911993866000708149	(5,30)
-418.5611742783194643207	(6,1)
-418.5613700886723823736	(6,2)
-418.5626905093454705936	(6,3)
-418.5669422943217950172	(6,4)
-418.5767108358645543464	(6,5)
-418.5952170142178334643	(6,6)
