e^1_(sigma,mu)
8.95733589148	(1,1)
8.95733894001	(1,2)
8.95735949741	(1,3)
8.95742569342	(1,4)
8.95757778372	(1,5)
8.95786592883	(1,6)
8.95834740167	(1,7)
8.95908335604	(1,8)
8.96013530633	(1,9)
8.96156147989	(1,10)
8.96341320656	(1,11)
8.96573150616	(1,12)
8.96854402516	(1,13)
8.97186245895	(1,14)
8.97568057753	(1,15)
8.97997295029	(1,16)
8.98469444109	(1,17)
8.98978051752	(1,18)
8.99514838919	(1,19)
9.00069895857	(1,20)
9.00631953522	(1,21)
9.01188723083	(1,22)
9.01727291967	(1,23)
9.02234561795	(1,24)
9.02697710924	(1,25)
9.03104662265	(1,26)
9.03444535846	(1,27)
9.03708065458	(1,28)
9.03887959671	(1,29)
9.0397918968	(1,30)
8.75399157290197	(2,1)
8.753994620387392	(2,2)
8.754015170747686	(2,3)
8.754081344018726	(2,4)
8.754233381815228	(2,5)
8.754521426466209	(2,6)
8.755002728602606	(2,7)
8.755738415129393	(2,8)
8.756789968068472	(2,9)
8.758215575702707	(2,10)
8.760066520880517	(2,11)
8.762383767815043	(2,12)
8.765194899097132	(2,13)
8.76851153992668	(2,14)
8.772327387699638	(2,15)
8.776616942853928	(2,16)
8.781335011846247	(2,17)
8.786417025678728	(2,18)
8.791780187789979	(2,19)
8.797325433672059	(2,20)
8.802940151763138	(2,21)
8.808501581807697	(2,22)
8.813880774192222	(2,23)
8.81894696338788	(2,24)
8.823572182525619	(2,25)
8.827635926415684	(2,26)
8.831029659046197	(2,27)
8.833660960449328	(2,28)
8.83545711789206	(2,29)
8.83636798789228	(2,30)
8.368591755951051199	(3,1)
8.36859480277304661	(3,2)
8.368615348652067495	(3,3)
8.368681507403948956	(3,4)
8.368833511325917519	(3,5)
8.36912148982927508	(3,6)
8.369602675683629431	(3,7)
8.370338170562078357	(3,8)
8.371389420393110495	(3,9)
8.372814562321995606	(3,10)
8.374664808884573932	(3,11)
8.376981031774019456	(3,12)
8.379790698118506887	(3,13)
8.383105297411300458	(3,14)
8.386918378064045443	(3,15)
8.391204289789633317	(3,16)
8.395917702292464984	(3,17)
8.400993942524291159	(3,18)
8.406350162445275506	(3,19)
8.411887317242183954	(3,20)
8.417492900898997598	(3,21)
8.423044352776893831	(3,22)
8.42841301668302392	(3,23)
8.433468504387343733	(3,24)
8.438083290551895691	(3,25)
8.442137347547441812	(3,26)
8.445522618522692495	(3,27)
8.448147126885115395	(3,28)
8.449938530986440442	(3,29)
8.4508469544431552	(3,30)
7.839240442671335444	(4,1)
7.839243491128518692	(4,2)
7.8392640480228113388	(4,3)
7.8393302421092580187	(4,4)
