hh2_(sigma,mu)
0.1486327743283071111094378696	(1,1)
0.1486327642584471535027725993	(1,2)
0.1486326963561772497877301416	(1,3)
0.1486324777385434861642737221	(1,4)
0.1486319756301711852519896442	(1,5)
0.1486310250481031603224020837	(1,6)
0.1486294387137661326824254514	(1,7)
0.1486270188302362380905135471	(1,8)
0.1486235702067652310575970774	(1,9)
0.1486189140499441859443357269	(1,10)
0.1486129015977581544502421079	(1,11)
0.1486054266786393376497041833	(1,12)
0.1485964362598844125378464658	(1,13)
0.1485859381277514379556824485	(1,14)
0.1485740050212496863450261395	(1,15)
0.148560774812935934427161033	(1,16)
0.1485464466665538041700946152	(1,17)
0.1485312734636418932199284968	(1,18)
0.148515551132670600918986677	(1,19)
0.1484996057886774601428929168	(1,20)
0.1484837797608955176471756639	(1,21)
0.1484684176275086737781747755	(1,22)
0.1484538532862549762437892062	(1,23)
0.1484403988824682437941884694	(1,24)
0.1484283361244651257759178689	(1,25)
0.148417910183554920068944136	(1,26)
0.1484093260504052539810805103	(1,27)
0.1484027469461473086301174132	(1,28)
0.1483982942011648032672691796	(1,29)
0.148396047938621720514871032	(1,30)
0.1477679522130000670877869212	(2,1)
0.1477679422058962082367561219	(2,2)
0.1477678747268332187171666416	(2,3)
0.1477676574721678285415496013	(2,4)
0.1477671584965794575438271305	(2,5)
0.1477662138545966960927579736	(2,6)
0.1477646374598468166553017374	(2,7)
0.1477622328034272530136965696	(2,8)
0.1477588060162989538862353687	(2,9)
0.1477541795973479730928316577	(2,10)
0.1477482059847800838437565336	(2,11)
0.1477407800535577889967050815	(2,12)
0.1477318496033234085473153021	(2,13)
0.1477214229791453052573321552	(2,14)
0.1477095731476126044782416185	(2,15)
0.1476964378230903657660815089	(2,16)
0.1476822155767710522528873904	(2,17)
0.1476671582247789652055910136	(2,18)
0.1476515601340494555141980307	(2,19)
0.1476357453595332802535236479	(2,20)
0.1476200536953825835468010298	(2,21)
0.1476048267630708119719982682	(2,22)
0.1475903951667905326785844049	(2,23)
0.1475770675365205470119510693	(2,24)
0.1475651219843626188784678179	(2,25)
0.1475548001641242127944546791	(2,26)
0.1475463037960937369447513575	(2,27)
0.1475397932439599812424246497	(2,28)
0.1475353875448082155142741963	(2,29)
0.14753316521781678060002901	(2,30)
0.1460567972788341494997566287	(3,1)
0.1460567874044587006776424788	(3,2)
0.1460567208204707539246859508	(3,3)
0.1460565064484283147729532926	(3,4)
0.1460560140983734936747330935	(3,5)
0.1460550820184153792640092826	(3,6)
0.1460535266418123321319416562	(3,7)
0.1460511541797076013792336406	(3,8)
0.146047773550653993593645144	(3,9)
0.1460432099735200478296080002	(3,10)
0.146037318404703165121472636	(3,11)
0.1460299959040112017345080558	(3,12)
0.1460211919942478474739760403	(3,13)
0.1460109161572797998501190261	(3,14)
0.1459992417904703636154215981	(3,15)
0.1459863062215390217407741955	(3,16)
0.1459723067202300021809032187	(3,17)
0.1459574928113438240130907098	(3,18)
0.1459421555380964232432067545	(3,19)
0.1459266146003252175119135036	(3,20)
0.1459112044602331820575698239	(3,21)
0.145896260545895032888919221	(3,22)
0.1458821065857014976822060772	(3,23)
0.1458690438913015646552281575	(3,24)
0.1458573431056048566899307682	(3,25)
0.1458472385908275967305717916	(3,26)
0.1458389252986160158372538758	(3,27)
0.1458325576860573971121192447	(3,28)
0.1458282500542744637283529711	(3,29)
0.145826077612211374995698474	(3,30)
0.1435351161449857113357668775	(4,1)
0.1435351064878355085555339536	(4,2)
0.1435350413687341702780059886	(4,3)
0.143534831714340695814633335	(4,4)
0.1435343502070895604096476856	(4,5)
0.1435334386834836960932527562	(4,6)
0.1435319176959937946449880264	(4,7)
0.1435295978976000959293748162	(4,8)
0.1435262927503691952963777622	(4,9)
