kdd2311_(sigma,mu)
-2.460572649e-20	(1,1)
-2.210387951e-19	(1,2)
-6.1160020897e-19	(1,3)
-1.19120143755e-18	(1,4)
-1.95108928678e-18	(1,5)
-2.87770899985e-18	(1,6)
-3.95150860603e-18	(1,7)
-5.14591031053e-18	(1,8)
-6.42667638254e-18	(1,9)
-7.75187087605e-18	(1,10)
-9.0725666258e-18	(1,11)
-1.033437409818e-17	(1,12)
-1.147978197747e-17	(1,13)
-1.245120759233e-17	(1,14)
-1.319456796129e-17	(1,15)
-1.36631086887e-17	(1,16)
-1.382117636117e-17	(1,17)
-1.364759668253e-17	(1,18)
-1.313832889721e-17	(1,19)
-1.230810760068e-17	(1,20)
-1.119085317335e-17	(1,21)
-9.83872620319e-18	(1,22)
-8.31981132027e-18	(1,23)
-6.71453207074e-18	(1,24)
-5.11101021576e-18	(1,25)
-3.59967975547e-18	(1,26)
-2.26753884003e-18	(1,27)
-1.19246440807e-18	(1,28)
-4.3802053163e-19	(1,29)
-4.916090549e-20	(1,30)
-1.6113683833359e-16	(2,1)
-1.44752859094881e-15	(2,2)
-4.0052190306218e-15	(2,3)
-7.80088462343245e-15	(2,4)
-1.277720285418777e-14	(2,5)
-1.884540695165306e-14	(2,6)
-2.587745586100979e-14	(2,7)
-3.369929812873635e-14	(2,8)
-4.208671925919763e-14	(2,9)
-5.076509103635136e-14	(2,10)
-5.941400147024835e-14	(2,11)
-6.767726687231192e-14	(2,12)
-7.517825978655067e-14	(2,13)
-8.15398854903165e-14	(2,14)
-8.640796789966807e-14	(2,15)
-8.94763240695305e-14	(2,16)
-9.05114686886751e-14	(2,17)
-8.937473664553972e-14	(2,18)
-8.603966617973805e-14	(2,19)
-8.060275067490184e-14	(2,20)
-7.328612646717357e-14	(2,21)
-6.443138046986088e-14	(2,22)
-5.448438215912823e-14	(2,23)
-4.397180545728706e-14	(2,24)
-3.347073792550752e-14	(2,25)
-2.357340934583675e-14	(2,26)
-1.484954892566253e-14	(2,27)
-7.80915329580626e-15	(2,28)
-2.86848767432534e-15	(2,29)
-3.2194255937367e-16	(2,30)
-9.55603551459698e-15	(3,1)
-8.584402403276162e-14	(3,2)
-2.3752492399700462e-13	(3,3)
-4.6262252079832885e-13	(3,4)
-7.577373665356732e-13	(3,5)
-1.11760524563588242e-12	(3,6)
-1.53463282317527488e-12	(3,7)
-1.99849816671694657e-12	(3,8)
-2.49590447856754104e-12	(3,9)
-3.01056523046160489e-12	(3,10)
-3.52347873912559761e-12	(3,11)
-4.0135219238174494e-12	(3,12)
-4.45835931534079942e-12	(3,13)
-4.83562774335803096e-12	(3,14)
-5.12432321401676962e-12	(3,15)
-5.30628792641344003e-12	(3,16)
-5.36767534422904341e-12	(3,17)
-5.30026214642330513e-12	(3,18)
-5.10247910972479906e-12	(3,19)
-4.78004872376582736e-12	(3,20)
-4.34614457959748473e-12	(3,21)
-3.8210241291749693e-12	(3,22)
-3.23112915650992662e-12	(3,23)
-2.60769343082889977e-12	(3,24)
-1.98494041470442443e-12	(3,25)
-1.39799153774320078e-12	(3,26)
-8.8063384265898042e-13	(3,27)
-4.631119960592294e-13	(3,28)
-1.7011203972834478e-13	(3,29)
-1.909239657992144e-14	(3,30)
-1.4013050096824327e-13	(4,1)
-1.25882392039661361e-12	(4,2)
-3.48308526888869921e-12	(4,3)
-6.78393514111873884e-12	(4,4)
-1.111152366241838754e-11	(4,5)
-1.63886557493257893e-11	(4,6)
-2.250398177650483553e-11	(4,7)
-2.930613956826523909e-11	(4,8)
-3.66001431085617685e-11	(4,9)
-4.414716459633943773e-11	(4,10)
-5.16685609346134117e-11	(4,11)
-5.88545807780883491e-11	(4,12)
-6.537769448947559811e-11	(4,13)
-7.090996667533658957e-11	(4,14)
-7.514339363281643523e-11	(4,15)
-7.781170917673936153e-11	(4,16)
-7.871186856620352762e-11	(4,17)
-7.772328692953527811e-11	(4,18)
-7.482295595456626622e-11	(4,19)
-7.009479356749952991e-11	(4,20)
-6.373198079631235586e-11	(4,21)
-5.603157610671787299e-11	(4,22)
-4.738132429614617856e-11	(4,23)
-3.82392388113996111e-11	(4,24)
-2.910717279652363178e-11	(4,25)
-2.050014606793672769e-11	(4,26)
-1.291361011502774451e-11	(4,27)
-6.79107053300614377e-12	(4,28)
-2.49452121671235612e-12	(4,29)
-2.7997068914096217e-13	(4,30)
-1.03660611472232622e-12	(5,1)
-9.31206670563528751e-12	(5,2)
-2.57658928442359626e-11	(5,3)
-5.018371078709926177e-11	(5,4)
-8.219675788248235737e-11	(5,5)
-1.2123398538373627843e-10	(5,6)
-1.6647168614794974036e-10	(5,7)
-2.1679015993503019971e-10	(5,8)
-2.7074699914083531139e-10	(5,9)
-3.2657547727951454529e-10	(5,10)
-3.8221433621714521812e-10	(5,11)
-4.3537219834211504452e-10	(5,12)
-4.8362617699424362105e-10	(5,13)
-5.2455039177991585567e-10	(5,14)
-5.558664161952652114e-10	(5,15)
-5.7560458639943542197e-10	(5,16)
-5.8226292703873715687e-10	(5,17)
-5.7494946400317819834e-10	(5,18)
-5.5349404474178526818e-10	(5,19)
-5.1851749567082239318e-10	(5,20)
-4.7144890170588127768e-10	(5,21)
-4.1448575898586051029e-10	(5,22)
-3.5049638870315877767e-10	(5,23)
-2.8286889534990845429e-10	(5,24)
-2.1531566039575501373e-10	(5,25)
-1.5164644445995392748e-10	(5,26)
-9.552623960435946934e-11	(5,27)
-5.023576821411380058e-11	(5,28)
-1.845278276371975993e-11	(5,29)
-2.07103368320714958e-12	(5,30)
