kuu1111_(sigma,mu)
0.6225808404481505893412504235	(1,1)
0.6225808404478085584377045735	(1,2)
0.6225808404455021218923282468	(1,3)
0.6225808404380753746423121913	(1,4)
0.6225808404210124906534983287	(1,5)
0.6225808403886881187117751171	(1,6)
0.6225808403346830401092881034	(1,7)
0.6225808402521505276870085712	(1,8)
0.6225808401342164544478213737	(1,9)
0.6225808399743945598839801315	(1,10)
0.6225808397669974667554303551	(1,11)
0.6225808395075240876222790571	(1,12)
0.6225808391930049684633236229	(1,13)
0.6225808388222888478733855624	(1,14)
0.6225808383962561901388104732	(1,15)
0.622580837917948571542464864	(1,16)
0.6225808373926064259156776898	(1,17)
0.6225808368276116297920096683	(1,18)
0.6225808362323355561685123803	(1,19)
0.6225808356178973676436494476	(1,20)
0.6225808349968412734517238063	(1,21)
0.6225808343827450675178597441	(1,22)
0.6225808337897753385438055186	(1,23)
0.6225808332322071631862352523	(1,24)
0.6225808327239277528574728092	(1,25)
0.6225808322779443498600728451	(1,26)
0.6225808319059166220371391284	(1,27)
0.622580831617732887385470865	(1,28)
0.6225808314211477495696779293	(1,29)
0.6225808313214962166877643842	(1,30)
0.622631046212529156649624046	(2,1)
0.6226310461848315901686539958	(2,2)
0.6226310459980570066353672927	(2,3)
0.6226310453966411000700855765	(2,4)
0.6226310440148935435088245691	(2,5)
0.6226310413972749638834645313	(2,6)
0.6226310370239588009770833961	(2,7)
0.6226310303404989408496669436	(2,8)
0.6226310207902303732036505014	(2,9)
0.6226310078478973118792086088	(2,10)
0.6226309910529371884631813811	(2,11)
0.6226309700408527017862888104	(2,12)
0.6226309445711776388824649222	(2,13)
0.6226309145506823714868479326	(2,14)
0.6226308800506657442996106999	(2,15)
0.6226308413174328098852499389	(2,16)
0.6226307987753515472084883865	(2,17)
0.6226307530222035368671683313	(2,18)
0.6226307048168795183358163329	(2,19)
0.62263065505980615017478755	(2,20)
0.6226306047668104663504992944	(2,21)
0.6226305550374194506689231815	(2,22)
0.6226305070188410768605783491	(2,23)
0.62263046186706914210122792	(2,24)
0.622630420706688611666849791	(2,25)
0.6226303845910250226541594106	(2,26)
0.6226303544642777336335746799	(2,27)
0.6226303311272024947011107351	(2,28)
0.6226303152077670599520724152	(2,29)
0.6226303071380004201772532767	(2,30)
0.6229640077256452031773707945	(3,1)
0.622964007512054005808348876	(3,2)
0.6229640060717322760086303648	(3,3)
0.6229640014338828592866961567	(3,4)
0.6229639907784663238588510534	(3,5)
0.6229639705925682171340784509	(3,6)
0.6229639368675212981918378157	(3,7)
0.6229638853276900537888108955	(3,8)
0.6229638116803314441353371219	(3,9)
0.6229637118749215322296135308	(3,10)
0.6229635823598283383065634518	(3,11)
0.6229634203242402539662477391	(3,12)
0.622963223913826352960836101	(3,13)
0.6229629924096860294797204716	(3,14)
0.6229627263616940727977349191	(3,15)
0.6229624276692964752052730079	(3,16)
0.6229620996050772514815360461	(3,17)
0.6229617467788986619188013043	(3,18)
0.6229613750430081829603886884	(3,19)
0.6229609913410921671741860763	(3,20)
0.6229606035067252369592457486	(3,21)
0.6229602200189079253248297771	(3,22)
0.6229598497243045070257828133	(3,23)
0.6229595015373039886805639887	(3,24)
0.6229591841300632134235888905	(3,25)
0.6229589056252059987954712736	(3,26)
0.6229586733038228430509408576	(3,27)
0.6229584933408423682386676153	(3,28)
0.6229583705787523575166095983	(3,29)
0.622958308349081660821078239	(3,30)
0.6240075531731164514191688807	(4,1)
0.6240075523534746775911849893	(4,2)
0.6240075468263374983620321999	(4,3)
0.6240075290289046988498270187	(4,4)
0.6240074881394689291253801681	(4,5)
0.6240074106774702083309659145	(4,6)
0.6240072812599505010936534837	(4,7)
0.6240070834795170149105160671	(4,8)
0.6240068008631906403458317189	(4,9)
0.6240064178675832313195489787	(4,10)
0.6240059208638908055890444219	(4,11)
0.6240052990662992481952064764	(4,12)
0.624004545359574073934777702	(4,13)
0.6240036569857548310299060708	(4,14)
0.6240026360558194987060918232	(4,15)
0.624001489859667256795566273	(4,16)
0.6240002309564638299771230554	(4,17)
0.6239988770369230453853388074	(4,18)
0.6239974505590449992657249534	(4,19)
0.6239959781687601964568132611	(4,20)
0.6239944899264054023515762005	(4,21)
0.6239930183685653442754667846	(4,22)
0.6239915974421770912673096392	(4,23)
0.6239902613535874237014519336	(4,24)
0.6239890433792226454372645053	(4,25)
0.6239879746864994521399179871	(4,26)
0.6239870832134861146551391227	(4,27)
0.6239863926536177188199769702	(4,28)
0.6239859215875705763793734811	(4,29)
0.623985682798388807688528535	(4,30)
0.6263177228920802174830518399	(5,1)
0.6263177206564697317337626444	(5,2)
0.6263177055809501754154370053	(5,3)
0.6263176570376413906228019169	(5,4)
0.6263175455098627934712560598	(5,5)
0.6263173342288483883488756929	(5,6)
0.6263169812370881634585533274	(5,7)
0.626316441783136520263912293	(5,8)
0.6263156709370829425371370087	(5,9)
0.6263146263051393788341933283	(5,10)
0.6263132707164473644680595212	(5,11)
0.6263115747554946786609944209	(5,12)
0.6263095190194578450455996011	(5,13)
0.6263070959911061730220917824	(5,14)
0.6263043114341300442784027044	(5,15)
0.6263011852381877973252456877	(5,16)
0.6262977516647117057475477925	(5,17)
0.6262940589705359747132240202	(5,18)
0.6262901684135680613453456103	(5,19)
0.6262861526718271570308670754	(5,20)
0.6262820937330301128017795628	(5,21)
0.6262780803353796772665231971	(5,22)
0.6262742050602716945927034124	(5,23)
0.6262705611934061615447002429	(5,24)
0.6262672394815697627878728188	(5,25)
0.6262643249176812332709164021	(5,26)
0.6262618936863206842800268155	(5,27)
0.6262600103959127798241737103	(5,28)
0.6262587257122606094905291081	(5,29)
0.6262580744917257296093536709	(5,30)
0.6304941792511753555702674819	(6,1)
0.6304941742773515550153720724	(6,2)
0.6304941407370834201371352911	(6,3)
0.6304940327371328867702560341	(6,4)
0.6304937846083864534690990104	(6,5)
0.6304933145474123019128788329	(6,6)
0.6304925292073453803309257962	(6,7)
0.6304913290264242598022934748	(6,8)
0.6304896140476503012588462777	(6,9)
0.6304872899590834949038801804	(6,10)
0.6304842740723205998717928876	(6,11)
0.630480500957288371189228386	(6,12)
0.6304759274646451986889422132	(6,13)
0.6304705368922797670127423075	(6,14)
0.6304643420885503937620911176	(6,15)
