ldd221_(sigma,mu)
0.00049187989330925862381776	(1,1)
0.000491879893344625933469642	(1,2)
0.000491879893583120107739444	(1,3)
0.000491879894351070895701193	(1,4)
0.000491879896115415302944467	(1,5)
0.000491879899457776036268651	(1,6)
0.000491879905041762594456636	(1,7)
0.00049187991357499419677019	(1,8)
0.000491879925767599043954576	(1,9)
0.000491879942289124713460208	(1,10)
0.000491879963725890013154908	(1,11)
0.000491879990540812890066936	(1,12)
0.000491880023037659552519653	(1,13)
0.000491880061331478887353914	(1,14)
0.000491880105326720411709295	(1,15)
0.000491880154704194996383975	(1,16)
0.000491880208917641323019003	(1,17)
0.000491880267200226832533166	(1,18)
0.000491880328580861430650321	(1,19)
0.000491880391909758002525048	(1,20)
0.00049188045589225786414312	(1,21)
0.000491880519129571681828379	(1,22)
0.000491880580164783963393554	(1,23)
0.000491880637532244696113069	(1,24)
0.000491880689808333175172668	(1,25)
0.000491880735661529883066282	(1,26)
0.000491880773899771320126048	(1,27)
0.00049188080351318492017212	(1,28)
0.00049188082371049844951653	(1,29)
0.00049188083394768012360986	(1,30)
0.004357411161319434906353547	(2,1)
0.004357411164683025062780946	(2,2)
0.004357411187364907938835531	(2,3)
0.004357411260400701093930422	(2,4)
0.004357411428199295683394603	(2,5)
0.004357411746079516660363188	(2,6)
0.004357412277164101118997727	(2,7)
0.004357413088773989630738587	(2,8)
0.004357414248489686538999468	(2,9)
0.00435741582006290077446368	(2,10)
0.004357417859370039388433376	(2,11)
0.004357420410598945225067841	(2,12)
0.004357423502851476371261414	(2,13)
0.004357427147327437506175166	(2,14)
0.004357431335230699254394816	(2,15)
0.004357436036507152557434063	(2,16)
0.004357441199487831525528198	(2,17)
0.004357446751470745190481912	(2,18)
0.0043574526002335041508849	(2,19)
0.00435745863642761086741628	(2,20)
0.00435746473676618359816198	(2,21)
0.004357470767881671463659585	(2,22)
0.004357476590700358350855458	(2,23)
0.004357482065157437544367049	(2,24)
0.004357487055061127582711431	(2,25)
0.004357491432907287775016205	(2,26)
0.004357495084447494854237897	(2,27)
0.004357497912823403400696206	(2,28)
0.004357499842097925681105722	(2,29)
0.00435750082003851271758642	(2,30)
0.011724838352310216972092924	(3,1)
0.011724838385699610980322377	(3,2)
0.011724838610856335688866218	(3,3)
0.01172483933586445927469813	(3,4)
0.011724841001571887357492083	(3,5)
0.011724844157161555704092494	(3,6)
0.011724849429366440940740028	(3,7)
0.01172485748675306684282668	(3,8)
0.011724869000727533217649205	(3,9)
0.011724884605072751734961853	(3,10)
0.011724904855899477745730181	(3,11)
0.011724930193884563075324727	(3,12)
0.011724960910578950281515957	(3,13)
0.011724997120399987781396109	(3,14)
0.011725038739685360425881935	(3,15)
0.011725085473889530803264801	(3,16)
0.011725136813660363617840748	(3,17)
0.011725192040157443619912709	(3,18)
0.011725250239579526717189169	(3,19)
0.011725310326472324749616603	(3,20)
0.011725371075005430107983668	(3,21)
0.011725431157054456924157454	(3,22)
0.011725489185616523669732989	(3,23)
0.011725543761837860066331916	(3,24)
0.011725593523753516371060694	(3,25)
0.0117256371947402579374581	(3,26)
0.011725673629670934181846833	(3,27)
0.011725701856834388182348521	(3,28)
0.011725721113847679792845699	(3,29)
0.0117257308760311066606039	(3,30)
0.021900483655689109186708655	(4,1)
0.021900483824341042469184864	(4,2)
0.021900484961622605491040113	(4,3)
0.021900488623695729668324429	(4,4)
0.021900497037366935400847713	(4,5)
0.021900512976794970978419151	(4,6)
0.021900539608189902114680753	(4,7)
0.021900580309721233816264757	(4,8)
0.021900638474984246464856517	(4,9)
0.021900717309119105945001054	(4,10)
0.021900819627013168804615992	(4,11)
0.021900947662940267468674156	(4,12)
0.021901102900516739364985623	(4,13)
0.021901285931012639348731097	(4,14)
0.021901496346889570148094321	(4,15)
0.021901732675993865210056545	(4,16)
0.021901992360171295662533006	(4,17)
0.021902271780247095459262013	(4,18)
0.021902566327396381460484499	(4,19)
0.021902870518981700910502092	(4,20)
