luu122_(sigma,mu)
-0.0000100004228750884086904637	(1,1)
-9.99917536402136247324387e-6	(1,2)
-9.99076465787037482652374e-6	(1,3)
-9.96370230000137368764818e-6	(1,4)
-9.90164351908035330544924e-6	(1,5)
-9.78452373957858860130037e-6	(1,6)
-9.59015149824369744613974e-6	(1,7)
-9.29625299324838563289448e-6	(1,8)
-8.88289428528574674637546e-6	(1,9)
-8.33512055002548962049458e-6	(1,10)
-7.64556449027903882794563e-6	(1,11)
-6.81670781145327012817018e-6	(1,12)
-5.86244945241354864921844e-6	(1,13)
-4.80865613762358912115731e-6	(1,14)
-3.69245074332629592189314e-6	(1,15)
-2.56012779921974683023035e-6	(1,16)
-1.46375866479311692753789e-6	(1,17)
-4.5673829958141135759764e-7	(1,18)
4.1129751394775519002226e-7	(1,19)
1.09962059910132860571558e-6	(1,20)
1.58099279572193811779241e-6	(1,21)
1.84506687486781186095615e-6	(1,22)
1.90009532598815861486233e-6	(1,23)
1.77262104254459265822453e-6	(1,24)
1.50506665941181289185497e-6	(1,25)
1.15140823264720713962103e-6	(1,26)
7.713766494919739830382e-7	(1,27)
4.2383916934294912136591e-7	(1,28)
1.6014216500479737801938e-7	(1,29)
1.822361415040958278092e-8	(1,30)
-0.0000899626681305350228943948	(2,1)
-0.00008995144565479382005766675	(2,2)
-0.00008987578384448903016436128	(2,3)
-0.00008963233377647954130512687	(2,4)
-0.00008907405964335015619366027	(2,5)
-0.00008802046268392151584928486	(2,6)
-0.0000862719108965355528697176	(2,7)
-0.00008362803159550214762717364	(2,8)
-0.00007990950128674110844035283	(2,9)
-0.00007498178811362687224413751	(2,10)
-0.00006877861686097838930045437	(2,11)
-0.00006132231294131021834406965	(2,12)
-0.0000527379100091519392082472	(2,13)
-0.00004325810262615416785203541	(2,14)
-0.00003321684441867320370927902	(2,15)
-0.00002303059608443973435663194	(2,16)
-0.0000131677858587202542376027	(2,17)
-4.10874869668758665662617e-6	(2,18)
3.69999784397187086435539e-6	(2,19)
9.89206826347364314567411e-6	(2,20)
0.00001422243189184825603536086	(2,21)
0.00001659800701009881330550859	(2,22)
0.00001709303276033927667392961	(2,23)
0.00001594628645027127640900762	(2,24)
0.0000135393974071753292853688	(2,25)
0.00001035792785912734273683833	(2,26)
6.93920952265706589034643e-6	(2,27)
3.81280481396053520709304e-6	(2,28)
1.44061907067385308694234e-6	(2,29)
1.6393737083853979477149e-7	(2,30)
-0.00024966496972284646374454141	(3,1)
-0.00024963382488795614014347239	(3,2)
-0.00024942384674789369183330318	(3,3)
-0.00024874821935064268585633497	(3,4)
-0.00024719888608032887985669871	(3,5)
-0.00024427492338350305664297246	(3,6)
-0.00023942230901332367558072805	(3,7)
-0.00023208496563181861113976274	(3,8)
-0.00022176523277163376291798887	(3,9)
-0.00020808975759842937104853849	(3,10)
-0.0001908746156000694890383775	(3,11)
-0.00017018176953465251478644532	(3,12)
-0.00014635822073879513678839221	(3,13)
-0.00012004975305377528822297906	(3,14)
-0.00009218316516030212023268128	(3,15)
-0.00006391422836093907318796297	(3,16)
-0.0000365429314560188641679343	(3,17)
-0.0000114023024135871040436141	(3,18)
0.00001026848609280383057621959	(3,19)
0.00002745264906026920534748995	(3,20)
0.00003947018944935890078774589	(3,21)
0.00004606280090741546499732197	(3,22)
0.00004743652525912463373304079	(3,23)
0.00004425402734509849600618274	(3,24)
0.00003757440962566658576535797	(3,25)
0.00002874520296453638035930605	(3,26)
0.00001925760323319976969866457	(3,27)
0.00001058124108262495830242688	(3,28)
3.99798410879546691445343e-6	(3,29)
4.5495642589747809971477e-7	(3,30)
-0.00048862727186332052669544961	(4,1)
-0.00048856631636919251600836441	(4,2)
-0.00048815535509052074205631666	(4,3)
-0.00048683304272988392562432167	(4,4)
-0.00048380074656325653447436587	(4,5)
-0.00047807807889332005840894445	(4,6)
-0.00046858073086085756778726978	(4,7)
-0.0004542203744438489709559606	(4,8)
-0.0004340230176196111449498647	(4,9)
-0.00040725796493216496955716175	(4,10)
-0.00037356527019547923527112023	(4,11)
-0.0003330662352936636851600662	(4,12)
-0.00028644003297554015487636737	(4,13)
-0.00023495060081969657168890891	(4,14)
-0.00018041185974822873668506792	(4,15)
-0.00012508585059429509814311409	(4,16)
-0.00007151684688618497283014493	(4,17)
-0.00002231375597462407204924238	(4,18)
0.00002009823397834063687697019	(4,19)
0.00005372920649560961494992304	(4,20)
0.00007724840431151940992264833	(4,21)
0.00009015038073791501970924047	(4,22)
0.00009283846864312114833005258	(4,23)
0.00008660964473263968324030066	(4,24)
0.00007353672694127055137991868	(4,25)
0.00005625698215096045044721914	(4,26)
0.00003768881046059820842462824	(4,27)
0.00002070838179652504763988009	(4,28)
7.82438457982134935119271e-6	(4,29)
8.9038680092964849864495e-7	(4,30)
-0.00080595047220447458799126312	(5,1)
-0.00080584992752283970129410665	(5,2)
-0.00080517205638629978509969413	(5,3)
-0.00080299093285499474983423737	(5,4)
-0.00079798923169243336877862958	(5,5)
-0.00078854982965572613773876529	(5,6)
-0.00077288419403594068266342937	(5,7)
-0.00074919717401025951107723886	(5,8)
-0.00071588223133749825300544388	(5,9)
-0.0006717341641699963904092298	(5,10)
-0.00061615934098053426019519807	(5,11)
-0.00054935796379762679930569099	(5,12)
-0.00047245044554628810669104992	(5,13)
-0.00038752175142699706453668661	(5,14)
-0.00029756399982525681300008655	(5,15)
-0.00020630840894479186186980751	(5,16)
-0.00011795164029145674989554032	(5,17)
-0.00003679685584009841482783281	(5,18)
0.0000331559343858827129833389	(5,19)
0.00008862477860473745363651347	(5,20)
0.00012741503318663469826794368	(5,21)
0.00014869336040400184085956093	(5,22)
0.000153125337331131571837072	(5,23)
0.00014285042745502228256058251	(5,24)
0.00012128762969910219931885224	(5,25)
0.00009278678896969353293133253	(5,26)
0.00006216131053059910598384663	(5,27)
0.00003415485203314437364300225	(5,28)
0.00001290492365450833007502054	(5,29)
1.4685321757058342244805e-6	(5,30)
-0.00119989792222680056436991508	(6,1)
-0.00119974822119636926778393379	(6,2)
-0.00119873893853686110075754578	(6,3)
-0.00119549146313329386226364733	(6,4)
-0.00118804443163477388204823083	(6,5)
-0.00117399011874568032450631505	(6,6)
-0.00115066560482767895046130608	(6,7)
-0.00111539814890709895544687376	(6,8)
-0.00106579588646119148791730955	(6,9)
-0.00100006457198963396676512837	(6,10)
-0.00091732060673233700300774401	(6,11)
-0.00081786240485032541354088959	(6,12)
-0.00070335852776963383289059843	(6,13)
-0.00057691364843421403344621582	(6,14)
-0.00044298301074056375403373196	(6,15)
-0.00030712212397641678306603814	(6,16)
-0.00017557923208248503641053726	(6,17)
-0.00005476083094252897587805333	(6,18)
0.00004937826288245336889814414	(6,19)
0.00013195259888196535879483589	(6,20)
0.00018969573437837851112919216	(6,21)
