mdd23_(sigma,mu)
-2.5070820520717e-8	(1,1)
-2.2521683978641e-7	(1,2)
-6.231605913922e-7	(1,3)
-1.21371736208697e-6	(1,4)
-1.98796850610513e-6	(1,5)
-2.9321030564566e-6	(1,6)
-4.0261994736229e-6	(1,7)
-5.2431775928544e-6	(1,8)
-6.5481525262358e-6	(1,9)
-7.8983956600429e-6	(1,10)
-9.2440550141982e-6	(1,11)
-0.0000105297129914042	(1,12)
-0.000011696771204851	(1,13)
-0.0000126865585635076	(1,14)
-0.0000134439698171309	(1,15)
-0.0000139213668254129	(1,16)
-0.0000140824222598522	(1,17)
-0.0000139055615915991	(1,18)
-0.0000133866676883481	(1,19)
-0.0000125407536578961	(1,20)
-0.000011402381039875	(1,21)
-0.000010024696355	(1,22)
-8.477071159684e-6	(1,23)
-6.841449154389e-6	(1,24)
-5.207617764667e-6	(1,25)
-3.667720360216e-6	(1,26)
-2.31039951653e-6	(1,27)
-1.215004189608e-6	(1,28)
-4.46299929214e-7	(1,29)
-5.0090137456e-8	(1,30)
-2.25532445591110668e-7	(2,1)
-2.02600886639481861e-6	(2,2)
-5.60583695302697905e-6	(2,3)
-0.00001091837597794525301	(2,4)
-0.0000178833954306956901	(2,5)
-0.0000263766543539004589	(2,6)
-0.0000362189421668479071	(2,7)
-0.0000471666505687909583	(2,8)
-0.0000589059613621444739	(2,9)
-0.0000710524956059365883	(2,10)
-0.0000831577938659992217	(2,11)
-0.0000947233294831598168	(2,12)
-0.0001052219620983979282	(2,13)
-0.0001141258974722648777	(2,14)
-0.0001209394192131085334	(2,15)
-0.0001252339839013703944	(2,16)
-0.00012668279831582955	(2,17)
-0.000125091782873563143	(2,18)
-0.00012042390159509302	(2,19)
-0.000112814210572443184	(2,20)
-0.000102573619802017437	(2,21)
-0.000090180226019831418	(2,22)
-0.000076258082956659297	(2,23)
-0.000061544340538538631	(2,24)
-0.000046846708909861856	(2,25)
-0.000032994091450511368	(2,26)
-0.00002078389878802117	(2,27)
-0.000010929937809007609	(2,28)
-4.014825932820892e-6	(2,29)
-4.50600967455986e-7	(2,30)
-6.258696203650564064e-7	(3,1)
-5.6223280703983925281e-6	(3,2)
-0.000015556622139752229775	(3,3)
-0.000030299320088828957536	(3,4)
-0.000049627775620356072831	(3,5)
-0.000073197209478254831875	(3,6)
-0.00010051029664099832906	(3,7)
-0.00013089100246551755717	(3,8)
-0.00016346845346076215409	(3,9)
-0.00019717596392512168165	(3,10)
-0.00023076901970215790923	(3,11)
-0.00026286416693233725873	(3,12)
-0.00029199854830178708683	(3,13)
-0.00031670749481369035547	(3,14)
-0.00033561535981165193191	(3,15)
-0.00034753291120175666622	(3,16)
-0.00035155328583703995374	(3,17)
-0.00034713791459012070389	(3,18)
-0.00033418403822601857539	(3,19)
-0.00031306646574547877745	(3,20)
-0.00028464801107789898042	(3,21)
-0.00025025543839293167445	(3,22)
-0.00021162054579756019246	(3,23)
-0.00017078897291113662114	(3,24)
-0.00013000216034528822363	(3,25)
-0.00009156035400525621577	(3,26)
-0.00005767640017059281568	(3,27)
-0.00003033113716710121334	(3,28)
-0.00001114134537894287914	(3,29)
-1.25044039009161956e-6	(3,30)
-1.22476758575731630238e-6	(4,1)
-0.00001100236366391384791	(4,2)
-0.0000304428362656365946332	(4,3)
-0.0000592928985381679180418	(4,4)
-0.0000971168492393912766729	(4,5)
-0.000143239980453059212872	(4,6)
-0.000196689060939642160321	(4,7)
-0.00025614113484324968332	(4,8)
-0.00031989195835107460545	(4,9)
-0.000385854096588991536498	(4,10)
-0.000451592119758074636041	(4,11)
-0.000514398710279799683867	(4,12)
-0.000571411176539456404523	(4,13)
-0.000619763299979753953124	(4,14)
-0.000656763095032557956198	(4,15)
-0.000680083400251891939354	(4,16)
-0.000687949651719581259955	(4,17)
-0.000679308025068539771804	(4,18)
-0.000653957547326599540901	(4,19)
-0.000612631799439831351492	(4,20)
-0.000557019322857091623743	(4,21)
-0.000489716529929616485032	(4,22)
-0.00041411239659224433566	(4,23)
-0.00033420999968125824172	(4,24)
-0.00025439552305515335676	(4,25)
-0.00017917017900560959042	(4,26)
-0.00011286411617038636496	(4,27)
-0.00005935345770530559013	(4,28)
-0.00002180191744907069889	(4,29)
-2.44692076145496385e-6	(4,30)
-2.01983771900411391828e-6	(5,1)
-0.00001814465807835946097123	(5,2)
-0.00005020510702997184064784	(5,3)
-0.0000977834694462947219222	(5,4)
-0.0001601611907601257574874	(5,5)
-0.0002362255406640923733102	(5,6)
-0.0003243714542407619919606	(5,7)
-0.0004224170886022874754059	(5,8)
-0.0005275517700006921749987	(5,9)
-0.0006363328617270502510603	(5,10)
-0.0007447438220969292668915	(5,11)
-0.0008483197385663757168008	(5,12)
-0.000942339504170377444923	(5,13)
-0.001022076265850823077732	(5,14)
-0.001083090603381854155926	(5,15)
-0.001121544859128168306776	(5,16)
-0.001134512805514334408418	(5,17)
-0.001120256918140908774823	(5,18)
-0.001078446209733593690225	(5,19)
-0.001010290914661699499848	(5,20)
-0.00091857607730864706678	(5,21)
-0.000807583829137159599359	(5,22)
-0.000682903175948832529804	(5,23)
-0.000551135654677134460308	(5,24)
-0.000419514388455634232494	(5,25)
-0.000295462016745334116056	(5,26)
-0.000186118949293852846472	(5,27)
-0.000097876804949591604234	(5,28)
-0.000035952393144557190787	(5,29)
-4.035085035400199863e-6	(5,30)
-3.006999749305241165991e-6	(6,1)
-0.00002701255725039476342467	(6,2)
-0.00007474201368268345179173	(6,3)
-0.00014557348949625140080416	(6,4)
-0.00023843720988523144214504	(6,5)
-0.00035167653312000966569078	(6,6)
-0.0004829017998621633215799	(6,7)
-0.0006288646073920942242883	(6,8)
-0.0007853803170514388839773	(6,9)
-0.0009473234097738983710065	(6,10)
-0.001108713958818396482684	(6,11)
-0.0012629045774584392819679	(6,12)
-0.0014028665947115938520519	(6,13)
-0.0015215629867826140876529	(6,14)
-0.0016123849120301911233621	(6,15)
-0.001669619705613082682925	(6,16)
-0.0016889118891148682302086	(6,17)
-0.0016676758990330916440703	(6,18)
-0.0016054202699821544036825	(6,19)
-0.0015039479836363145934336	(6,20)
-0.0013674062857516611266189	(6,21)
-0.0012021707923719675893597	(6,22)
-0.0010165621634497174715034	(6,23)
-0.0008204078193508406595621	(6,24)
-0.0006244748181598296231423	(6,25)
-0.0004398118306547726564562	(6,26)
-0.0002770470240285380377709	(6,27)
-0.0001456937290266194819708	(6,28)
-0.0000535164918419295931337	(6,29)
-6.0063673989072473602e-6	(6,30)
-4.179585212506688879087e-6	(7,1)
-0.000037546156731734758931006	(7,2)
-0.00010388780202918615964367	(7,3)
-0.00020234010741234743148183	(7,4)
-0.0003314160459128178371657	(7,5)
-0.00048881276890400184117258	(7,6)
-0.00067120842041850915588031	(7,7)
-0.00087408735571135303318062	(7,8)
-0.00109163243107924742540832	(7,9)
-0.00131671859175133355642663	(7,10)
-0.00154103315907966994720366	(7,11)
-0.0017553358226956798357512	(7,12)
-0.0019498565912418150369974	(7,13)
-0.0021148143397778189074828	(7,14)
-0.002241023737146692285118	(7,15)
-0.0023205458339472677219565	(7,16)
-0.0023473288373894847809393	(7,17)
-0.0023177816487059007887206	(7,18)
-0.002231224194050697109809	(7,19)
-0.0020901655208844628355771	(7,20)
-0.0019003725991716932797107	(7,21)
-0.0016707087973989256448001	(7,22)
-0.0014127397174974720854458	(7,23)
-0.0011401238013339298865323	(7,24)
-0.0008678240640381232311935	(7,25)
-0.0006111937051677873729201	(7,26)
-0.0003850006444794259056669	(7,27)
-0.000202463028659870752292	(7,28)
-0.0000743687349233948775938	(7,29)
-8.3466764748391354391e-6	(7,30)
-5.527275710860041263411e-6	(8,1)
-0.00004965276381486168139059	(8,2)
-0.000137385993330862687166511	(8,3)
-0.000267583759965934556180236	(8,4)
-0.00043827936254318828863255	(8,5)
-0.00064642700376247739467679	(8,6)
-0.00088763299897485524490024	(8,7)
-0.00115592457813383331190643	(8,8)
-0.00144360744647651762795241	(8,9)
-0.00174125739451074077621444	(8,10)
-0.002037879565621179673147	(8,11)
-0.00232125257817476761825807	(8,12)
-0.00257845516530946581757749	(8,13)
-0.00279655231868246228949216	(8,14)
-0.00296339825650643229729651	(8,15)
-0.00306849699253281034808829	(8,16)
-0.00310384971274128586149979	(8,17)
-0.0030647129683024197688529	(8,18)
-0.0029501936609400824278372	(8,19)
-0.002763616029207203977902	(8,20)
-0.0025126117235134031136211	(8,21)
-0.0022089052989157482270548	(8,22)
-0.0018677922221533471811196	(8,23)
-0.0015073325692073154945896	(8,24)
-0.0011473085995053007280327	(8,25)
-0.0008080160093152650259658	(8,26)
-0.0005089748471601348318566	(8,27)
-0.0002676552512940869590716	(8,28)
-0.0000983144019940656159867	(8,29)
-0.0000110341443191698535943	(8,30)
-7.035108174243097972283e-6	(9,1)
-0.000063197961550834095454709	(9,2)
-0.000174864658655609500489038	(9,3)
-0.000340580012078041142387102	(9,4)
-0.000557840457501778112074791	(9,5)
-0.000822768557151254359374527	(9,6)
-0.0011297707170721011161525	(9,7)
-0.00147124280891210723577517	(9,8)
-0.00183738887638119651480594	(9,9)
-0.00221621062321389381511671	(9,10)
-0.00259371049001046223689967	(9,11)
-0.00295433020359615576317078	(9,12)
-0.00328162177377267547049723	(9,13)
-0.00355912154601242100808122	(9,14)
-0.00377137284836201399319576	(9,15)
-0.00390502169626642131309317	(9,16)
-0.00394989530650486065657903	(9,17)
-0.00389996660410729236471573	(9,18)
-0.00375411049054589207321222	(9,19)
-0.0035165694913618946076922	(9,20)
-0.00319706671132920903295471	(9,21)
-0.0028105311378732150205078	(9,22)
-0.00237643189274695321177263	(9,23)
-0.00191775120714653595666938	(9,24)
-0.00145965765207871347274514	(9,25)
-0.00102796854642084608378944	(9,26)
-0.0006475109104868292798361	(9,27)
-0.00034050186648313839551101	(9,28)
-0.00012507084010746979950737	(9,29)
-0.0000140370274848224128453	(9,30)
-8.682828687267793215896e-6	(10,1)
-0.000077999804020338542106837	(10,2)
-0.000215820357340138980778634	(10,3)
-0.000420348272680698297526118	(10,4)
-0.000688493016427143210320673	(10,5)
-0.001015467713340130552844828	(10,6)
-0.001394366412723393319611371	(10,7)
-0.001815800574914245806266066	(10,8)
-0.002267675321608512750201236	(10,9)
-0.00273517674769920125126365	(10,10)
-0.00320102318075815182853208	(10,11)
