muu13_(sigma,mu)
-13.742128382329	(1,1)
-13.742125367408	(1,2)
-13.742105036729	(1,3)
-13.7420395718733	(1,4)
-13.7418891676629	(1,5)
-13.7416042406747	(1,6)
-13.7411282143273	(1,7)
-13.740400752483	(1,8)
-13.7393612920663	(1,9)
-13.7379527102604	(1,10)
-13.7361249541533	(1,11)
-13.7338384607068	(1,12)
-13.7310672027228	(1,13)
-13.727801211838	(1,14)
-13.724048451857	(1,15)
-13.7198359439798	(1,16)
-13.715210078403	(1,17)
-13.7102360828522	(1,18)
-13.7049966561404	(1,19)
-13.6995898120728	(1,20)
-13.6941260141874	(1,21)
-13.6887247133159	(1,22)
-13.6835104263486	(1,23)
-13.6786085147654	(1,24)
-13.6741408346335	(1,25)
-13.6702214354208	(1,26)
-13.6669524830256	(1,27)
-13.6644205731033	(1,28)
-13.6626935846077	(1,29)
-13.6618182012461	(1,30)
-13.51887411659669626	(2,1)
-13.51887095193662408	(2,2)
-13.51884961151019183	(2,3)
-13.51878089521737061	(2,4)
-13.51862302062400739	(2,5)
-13.51832394064613769	(2,6)
-13.51782426593767245	(2,7)
-13.51706065745051771	(2,8)
-13.51596953227172399	(2,9)
-13.51449091034837528	(2,10)
-13.51257222183272547	(2,11)
-13.51017189494042088	(2,12)
-13.50726255248357868	(2,13)
-13.50383366131967102	(2,14)
-13.49989350218208454	(2,15)
-13.49547035672028173	(2,16)
-13.49061284276630497	(2,17)
-13.48538936630898321	(2,18)
-13.47988669768301498	(2,19)
-13.47420771827665286	(2,20)
-13.46846842085544341	(2,21)
-13.46279427972485529	(2,22)
-13.45731613493733648	(2,23)
-13.45216575637597354	(2,24)
-13.44747126791713256	(2,25)
-13.44335261843324218	(2,26)
-13.4399172849466213	(2,27)
-13.43725638393890492	(2,28)
-13.43544135013877256	(2,29)
-13.43452131882624628	(2,30)
-13.0970080486010444419	(3,1)
-13.0970045862168289494	(3,2)
-13.0969812381236579106	(3,3)
-13.0969060570482083333	(3,4)
-13.0967333292309643909	(3,5)
-13.0964061092194137905	(3,6)
-13.0958594153404100511	(3,7)
-13.0950239384622885308	(3,8)
-13.093830092441929454	(3,9)
-13.0922122180378220198	(3,10)
-13.0901127438035650217	(3,11)
-13.0874861079376400003	(3,12)
-13.0843022542522095081	(3,13)
-13.0805495329501348004	(3,14)
-13.0762368620122609868	(3,15)
-13.0713950366086130722	(3,16)
-13.0660771106826380589	(3,17)
-13.0603578151151305411	(3,18)
-13.0543320188952984723	(3,19)
-13.048112281672271511	(3,20)
-13.0418255860940924272	(3,21)
-13.0356093747075959183	(3,22)
-13.0296070472952694295	(3,23)
-13.0239630989969631842	(3,24)
-13.0188180963269682095	(3,25)
-13.0143036965085714005	(3,26)
-13.0105379150353986579	(3,27)
-13.0076208370429854428	(3,28)
-13.0056309503300368505	(3,29)
-13.0046222524674954657	(3,30)
-12.52097432615859049489	(4,1)
-12.5209704204777074291	(4,2)
-12.52094408306798593104	(4,3)
-12.52085927626127372265	(4,4)
