s2_(sigma,mu)
-4.39267973316627124938943e-6	(1,1)
-0.00003946189792567222286554572	(1,2)
-0.00010921587819236695269445585	(1,3)
-0.00021288915876342293787707097	(1,4)
-0.00034934224434415061961009508	(1,5)
-0.00051707222962850905480014764	(1,6)
-0.00071422723835857649961869991	(1,7)
-0.00093862484334029725483184113	(1,8)
-0.00118777459518243637065497754	(1,9)
-0.00145890470940208406935830809	(1,10)
-0.00174899284590200589976085458	(1,11)
-0.00205480076917717191474161098	(1,12)
-0.00237291251347754895167484708	(1,13)
-0.00269977550906130945327323238	(1,14)
-0.0030317439696464182952472221	(1,15)
-0.00336512371296427331727260335	(1,16)
-0.00369621749955392799270694528	(1,17)
-0.0040213699394083745294413254	(1,18)
-0.00433701103653472857896011707	(1,19)
-0.0046396975169911895341594762	(1,20)
-0.00492615121004477282390302615	(1,21)
-0.00519329391356208807931790189	(1,22)
-0.00543827835906127317570412625	(1,23)
-0.00565851508283302530345404951	(1,24)
-0.0058516951911252677005328596	(1,25)
-0.0060158091652472263643349492	(1,26)
-0.00614916197522721811138201364	(1,27)
-0.00625038485077771408337703447	(1,28)
-0.00631844409233557260034034389	(1,29)
-0.0063526472934860863896171588	(1,30)
-4.36210843121447741229694e-6	(2,1)
-0.00003918725875823926969894026	(2,2)
-0.00010845577766469890122349804	(2,3)
-0.00021140752385319813674398871	(2,4)
-0.00034691091222860873403654733	(2,5)
-0.00051347345327511571419972744	(2,6)
-0.0007092560807714324900124722	(2,7)
-0.00093209143405705983371942136	(2,8)
-0.00117950622370644883503496859	(2,9)
-0.00144874773166485848852763088	(2,10)
-0.00173681438160449944827541451	(2,11)
-0.00204049016996319870560722521	(2,12)
-0.00235638258434396274287010786	(2,13)
-0.00268096346818933413970288232	(2,14)
-0.00301061213491777952615929288	(2,15)
-0.00334165990676584175176050169	(2,16)
-0.00367043516702660661472009678	(2,17)
-0.00399330797899954087794544605	(2,18)
-0.00430673334549469887282394892	(2,19)
-0.00460729225822437388162212343	(2,20)
-0.00489172981038391467680053812	(2,21)
-0.00515698980696988868627350262	(2,22)
-0.00540024549136957983169856407	(2,23)
-0.00561892619731022786270410161	(2,24)
-0.00581073991634753692847491786	(2,25)
-0.00597369192840473838965623308	(2,26)
-0.00610609976513114500392996917	(2,27)
-0.00620660485549929334365200289	(2,28)
-0.00627418123669385262091653468	(2,29)
-0.006308141701619789505937378	(2,30)
